"NewsDesk","SectionName","SubsectionName","Headline","Snippet","Abstract","WordCount","PubDate","UniqueID"
"","","","House Votes to Block Obama Action on Immigration","The House has made its feelings about President Obamas executive action on immigration official, voting to block his reforms.","The House has made its feelings about President Obamas executive action on immigration official, voting to block his reforms.",117,"2014-12-04 14:51:24",6834
"OpEd","Opinion","","Women on Submarines, Filmed in the Shower","There is an urgent need to radically change the way the military deals with sexual harassment.","There is an urgent need to radically change the way the military deals with sexual harassment.",407,"2014-12-04 14:49:45",6835
"Culture","Arts","","New Lucerne Opera House Is Back on Track, but Hurdles Remain","Thanks to a legal settlement, plans to build an opera house and performance space in Switzerland have been reinvigorated.","Thanks to a legal settlement, plans to build an opera house and performance space in Switzerland have been reinvigorated.",420,"2014-12-04 14:47:28",6836
"Business","Business Day","Dealbook","British Treasury Targets Banks to Increase Tax Revenue","George Osborne, the chancellor of the Exchequer, has outlined several measures aimed at increasing revenue from Britains financial sector.","George Osborne, the chancellor of the Exchequer, has outlined several measures aimed at increasing revenue from Britains financial sector.",858,"2014-12-04 14:23:59",6837
"","Opinion","Room For Debate","A Special Prosecutor for Police","Should a prosecutor independent of local district attorneys always be given responsibility when police are accused of excessive force?","Should a prosecutor independent of local district attorneys always be given responsibility when police are accused of excessive force?",2574,"2014-12-04 14:23:33",6838
"Culture","Arts","","Perelman's Lawsuit Against Gagosian Is Dismissed","The appellate division of the New York State Supreme Court dismissed a lawsuit at the heart of a bitter dispute between the billionaire collector Ronald O. Perelman and the art dealer Larry Gagosian.","The appellate division of the New York State Supreme Court dismissed a lawsuit at the heart of a bitter dispute between the billionaire collector Ronald O. Perelman and the art dealer Larry Gagosian.",174,"2014-12-04 14:11:47",6839
"Business","Business Day","Dealbook","Fight Between Activist Investor and Jim Cramer Is Fair Game","J. Carlo Cannell wants Jim Cramer to sell TheStreet or take a pay cut and quit CNBC. A sale may be wishful thinking, says Quentin Webb of Reuters Breakingviews. But Mr. Cramers payout is hard to justify.","J. Carlo Cannell wants Jim Cramer to sell TheStreet or take a pay cut and quit CNBC. A sale may be wishful thinking, says Quentin Webb of Reuters Breakingviews. But Mr. Cramers payout is hard to justify.",392,"2014-12-04 14:05:47",6840
"","","","Verbatim: Pressing Issues","Samanthan Power, the United States general ambassador to the United Nations, is also a Red Sox fan.","Samanthan Power, the United States general ambassador to the United Nations, is also a Red Sox fan.",60,"2014-12-04 14:02:57",6841
"TStyle","","","A New Multimedia Show Explores Nostalgia, Moment by Moment","Biograph, Last Year by the performance artists Iver Findlay and Marit Sandsmark explores the meaning of memory in the age of the selfie.","Biograph, Last Year by the performance artists Iver Findlay and Marit Sandsmark explores the meaning of memory in the age of the selfie.",451,"2014-12-04 14:00:52",6842
"Culture","Arts","","Lincoln Center Plans a Theater Work for Children With Autism","Up and Away, an immersive work inspired by Jules Vernes Around the World in 80 Days, will open next fall, with previews in the spring.","Up and Away, an immersive work inspired by Jules Vernes Around the World in 80 Days, will open next fall, with previews in the spring.",223,"2014-12-04 14:00:34",6843
"OpEd","Opinion","","Our Police Problem","Eric Garners death and the balance between liberty and order.","Eric Garners death and the balance between liberty and order.",916,"2014-12-04 13:53:35",6844
"Science","Health","","A Focus on the Heart for Older Patients","The first geriatric cardiology clinic in New York opened at N.Y.U. Langone Medical Center in August. Its different.","The first geriatric cardiology clinic in New York opened at N.Y.U. Langone Medical Center in August. Its different.",922,"2014-12-04 13:45:40",6845
"","","","Verbatim: Ask and Ask Again","President Obama on trying to get children to do homework.","President Obama on trying to get children to do homework.",23,"2014-12-04 13:33:42",6846
"Styles","U.S.","","The Smart Nursery Offers More Information, Not More Sleep","Its easy for older parents to mock the new generation of wearable devices available to parents of infantsbut the prospect of all that information must be tempting, if parents can get the gadgets to work.","Its easy for older parents to mock the new generation of wearable devices available to parents of infantsbut the prospect of all that information must be tempting, if parents can get the gadgets to work.",260,"2014-12-04 13:32:22",6847
"","","","Put on Your Boots and Holler for Hillary!","It might not enter countrys top 40, but a new music video release by a pro-Hillary Clinton super PAC has made its way into the pantheon of viral (and mocked) political videos.","It might not enter countrys top 40, but a new music video release by a pro-Hillary Clinton super PAC has made its way into the pantheon of viral (and mocked) political videos.",306,"2014-12-04 13:26:30",6848
"Business","Business Day","Small Business","Today in Small Business: Wages","Health care costs grew at the slowest rate in 2013 since 1960. There is $1.99 gas in Oklahoma City. And search engine optimization mistakes that are easy to make.","Health care costs grew at the slowest rate in 2013 since 1960. There is $1.99 gas in Oklahoma City. And search engine optimization mistakes that are easy to make.",614,"2014-12-04 13:11:39",6849
"Culture","Arts","","Ugg-A-Wha? Updating Stereotypes in 'Peter Pan'","The producers of Peter Pan Live! aimed to update elements of the original musical that were insensitive to Native Americans.","The producers of Peter Pan Live! aimed to update elements of the original musical that were insensitive to Native Americans.",673,"2014-12-04 13:03:22",6850
"","","","Committee to Weigh Formal Declaration of War","Senator Rand Paul, Republican of Kentucky, on Thursday forced a vote on the contentious issue of setting limits on the military operation against the Islamic State.","Senator Rand Paul, Republican of Kentucky, on Thursday forced a vote on the contentious issue of setting limits on the military operation against the Islamic State.",9,"2014-12-04 12:59:53",6851
"OpEd","Opinion","","Alternative Takes on Eric Garner","Representative Peter King said Mr. Garner would not have died if he had not been obese.","Representative Peter King said Mr. Garner would not have died if he had not been obese.",353,"2014-12-04 12:57:06",6852
"","","","Urging Parties to Come Together by Not Splitting the Difference","No Labels, the political group seeking to defy the gravitational force of Washington partisanship, has a new approach for bringing President Obama and a Republican Congress together for the next two years.","No Labels, the political group seeking to defy the gravitational force of Washington partisanship, has a new approach for bringing President Obama and a Republican Congress together for the next two years.",265,"2014-12-04 12:54:43",6853
"Culture","Arts","","National Portrait Gallery Adds a 3-D Printed Bust of Obama","A bust of President Obama based on a digital scan joins the gallerys collection of life masks, which includes those of Lincoln and Washington.","A bust of President Obama based on a digital scan joins the gallerys collection of life masks, which includes those of Lincoln and Washington.",142,"2014-12-04 12:38:22",6854
"Business","Business Day","Dealbook","Bill Gross Muses on Nursery Rhymes and Domestic Abuse in Latest Investment Letter","Janet Yellen as Little Miss Muffet? Mario Draghi and Angela Merkel acting as Punch and Judy? No one is off limits for Bill Gross.","Janet Yellen as Little Miss Muffet? Mario Draghi and Angela Merkel acting as Punch and Judy? No one is off limits for Bill Gross.",442,"2014-12-04 12:32:47",6855
"Culture","Arts","","An Opera Offered on the Installment Plan","Lisa Bielawas latest work, Vireo: The Spiritual Biography of a Witchs Accuser, will be recorded before live audiences and delivered in a series of episodes over two years.","Lisa Bielawas latest work, Vireo: The Spiritual Biography of a Witchs Accuser, will be recorded before live audiences and delivered in a series of episodes over two years.",270,"2014-12-04 12:32:46",6856
"","","","The Perils of Being Born: Infant Deaths in India","Gardiner Harris, a Times correspondent in India, writes about visiting a neonatal intensive care unit in Gurgaon and covering the health of children in the country.","Gardiner Harris, a Times correspondent in India, writes about visiting a neonatal intensive care unit in Gurgaon and covering the health of children in the country.",549,"2014-12-04 12:31:12",6857
"","","","A Photographers Evocative Portraits of Rivers in Flux","Ansley West Rivers was inspired to create a series centering on the changing life of the American river after a 25-day trip floating the Colorado through the Grand Canyon.","Ansley West Rivers was inspired to create a series centering on the changing life of the American river after a 25-day trip floating the Colorado through the Grand Canyon.",220,"2014-12-04 12:30:55",6858
"OpEd","Opinion","","A Note on Oil Prices and the Economy","Not quite as simple as it seems.","Not quite as simple as it seems.",325,"2014-12-04 12:28:02",6859
"OpEd","","","On Smaller Farms, Including Organic Farms, Technology and Tradition Meet","The best way to sustain productive soils and harvests on Americas smaller farms is through technological innovation.","The best way to sustain productive soils and harvests on Americas smaller farms is through technological innovation.",1155,"2014-12-04 12:23:45",6860
"Business","Business Day","Dealbook","Prosecutor on Mathew Martoma Case Heads to Private Practice","Eugene Ingoglia, who worked on the governments crackdown on insider trading at hedge funds, is the latest in a string of federal prosecutors to take a private sector job.","Eugene Ingoglia, who worked on the governments crackdown on insider trading at hedge funds, is the latest in a string of federal prosecutors to take a private sector job.",403,"2014-12-04 12:12:22",6861
"Business","Business Day","Dealbook","How the Promise of Microsoft's Investment in Nook Soured","Two years after Microsoft invested $300 million in the Barnes & Noble e-reading business, the value of the Nook has declined by more than half.","Two years after Microsoft invested $300 million in the Barnes & Noble e-reading business, the value of the Nook has declined by more than half.",452,"2014-12-04 12:08:24",6862
"Culture","","","Vanessa Redgrave, 'Magic Mike' Fan, and Other Award Season Quirks","How weird does it get? Glad you asked!","How weird does it get? Glad you asked!",574,"2014-12-04 12:02:40",6863
"Styles","U.S.","","I Can't Explain","If the goal is to explain the news in a way that helps children understand the world they live in, this morning, I failed.","If the goal is to explain the news in a way that helps children understand the world they live in, this morning, I failed.",316,"2014-12-04 11:55:19",6864
"Culture","Arts","","A Booker Prize Winner's Latest Laurel: Bad Sex in Fiction Award","Despite fierce competition, Ben Okri wins the award, issued by The Literary Review, with a passage from The Age of Magic.","Despite fierce competition, Ben Okri wins the award, issued by The Literary Review, with a passage from The Age of Magic.",410,"2014-12-04 11:49:58",6865
"OpEd","Opinion","","Facts & Figures: America&rsquo;s Unique Take on Maternity Leave","In the U.S., paid parental leave is more of a perk than a guarantee.","In the U.S., paid parental leave is more of a perk than a guarantee.",160,"2014-12-04 11:45:20",6866
"Business","Business Day","Dealbook","Uber Adds a Billion Dollars More to Its Coffers","With the additional money, Uber is setting itself up for what its investors hope will be the next mammoth initial public offering, following in the footsteps of Facebook and the Chinese e-commerce company Alibaba Group.","With the additional money, Uber is setting itself up for what its investors hope will be the next mammoth initial public offering, following in the footsteps of Facebook and the Chinese e-commerce company Alibaba Group.",1030,"2014-12-04 11:43:45",6867
"Business","Business Day","Dealbook","Qatar Fund and Brookfield Make Final Offer for Canary Wharf Owner","The revised bid values Songbird Estates, which has a controlling stake in the Canary Wharf Group, at about $4 billion.","The revised bid values Songbird Estates, which has a controlling stake in the Canary Wharf Group, at about $4 billion.",523,"2014-12-04 11:39:48",6868
"Styles","U.S.","","Playing Nicely With Others: Why Schools Teach Social Emotional Learning ","Social emotional learning is what allows students control their behavior, understand how their personal behavior impacts others, and enables them to empathize and collaborate with others.","Social emotional learning is what allows students control their behavior, understand how their personal behavior impacts others, and enables them to empathize and collaborate with others.",638,"2014-12-04 11:26:33",6869
"","U.S.","Education","Poetry Pairing | 'Ode to the Midwest'","Kevin Youngs poem Ode to the Midwest and the Frugal Traveler article What I Learned Driving Through the Heartland by Seth Kugel appear in this Poetry Pairing.","Kevin Youngs poem Ode to the Midwest and the Frugal Traveler article What I Learned Driving Through the Heartland by Seth Kugel appear in this Poetry Pairing.",935,"2014-12-04 11:08:10",6870
"Culture","","","A Twitter Map of the Star Contenders","A state-by-state look at which contenders Twitter users are talking about.","A state-by-state look at which contenders Twitter users are talking about.",135,"2014-12-04 11:00:29",6871
"TStyle","","","Theater People: Bradley Cooper, Jake Gyllenhaal and More Discuss Acting on Broadway","As much as Broadway now relies on Hollywood actors to bring in the crowds, so A-listers increasingly view stints onstage as integral to a rich career. Here, seven award-winning actors on their new roles.","As much as Broadway now relies on Hollywood actors to bring in the crowds, so A-listers increasingly view stints onstage as integral to a rich career. Here, seven award-winning actors on their new roles.",740,"2014-12-04 11:00:06",6872
"Culture","","","Tilda Swinton's Many Sets of False Teeth","Six things you may not know about the actress.","Six things you may not know about the actress.",720,"2014-12-04 10:25:45",6873
"Business","Business Day","Dealbook","Elizabeth Warren Misfires in Latest Wall St. Salvo","Senator Elizabeth Warrens opposition to a nominee for a role at the Treasury Department demonstrates her blatant political motivation, William D. Cohan writes in the Street Scene column.","Senator Elizabeth Warrens opposition to a nominee for a role at the Treasury Department demonstrates her blatant political motivation, William D. Cohan writes in the Street Scene column.",1299,"2014-12-04 10:14:08",6874
"Business","Business Day","Dealbook","OnDeck, an Alternative Lending Platform, Sets I.P.O. Range ","OnDeck Capital, an online site for lending to small businesses, said it planned to price its stock sale at $16 to $18 a share, a move that would value the company at about $1.1 billion.","OnDeck Capital, an online site for lending to small businesses, said it planned to price its stock sale at $16 to $18 a share, a move that would value the company at about $1.1 billion.",270,"2014-12-04 10:03:57",6875
"Culture","Arts","","Excerpts From 'The Shining' Opera Among Offerings at Vocal Music Festival","The New York Festival of Songs series, NYFOS Next, will include excerpts from Paul Moravecs adaptation of The Shining along with other works in progress.","The New York Festival of Songs series, NYFOS Next, will include excerpts from Paul Moravecs adaptation of The Shining along with other works in progress.",221,"2014-12-04 10:00:43",6876
"Culture","Arts","","Title and Cast of Next Bond Film Are Announced","The film, which will star Daniel Craig in his fourth turn as the secret agent, is to be released on Nov. 6, 2015.","The film, which will star Daniel Craig in his fourth turn as the secret agent, is to be released on Nov. 6, 2015.",309,"2014-12-04 09:35:06",6877
"Science","Health","","Go Ahead, Use the Restroom","Public restrooms arent any dirtier than the rest of our environment, researchers report.","Public restrooms arent any dirtier than the rest of our environment, researchers report.",212,"2014-12-04 09:33:58",6878
"Metro","N.Y. / Region","","A Hamsa in the Diamond District","The author of a novel about a hamsa, a Middle Eastern charm, decided she needed one to display.","The author of a novel about a hamsa, a Middle Eastern charm, decided she needed one to display.",289,"2014-12-04 09:09:53",6879
"TStyle","","","The Daily Gift: A Quirky (Nudie) Illustrated Calendar","Each day until Christmas, the editors of T share a new holiday gift idea.","Each day until Christmas, the editors of T share a new holiday gift idea.",105,"2014-12-04 09:00:28",6880
"Culture","","","Bill Murray's Tips for the Red Carpet","The star, Channing Tatum and Melissa McCarthy all have advice for the Carpetbagger on her new beat.","The star, Channing Tatum and Melissa McCarthy all have advice for the Carpetbagger on her new beat.",0,"2014-12-04 09:00:21",6881
"Business","Business Day","Dealbook","Antitrust Inquiry Opened Into Orange's Proposed Telecom Deal for Jazztel ","The European Commission said it was concerned that the proposed $4.1 billion acquisition of the Spanish cable provider by the French telecom giant may hamper competition in Spain.","The European Commission said it was concerned that the proposed $4.1 billion acquisition of the Spanish cable provider by the French telecom giant may hamper competition in Spain.",170,"2014-12-04 08:56:45",6882
"","","","Daily Clip Report","Good morning. Here is Daily Clip Report, a collection of articles about The Times and the media sent by email each morning to senior executives and newsroom editors. The email is produced by the Corporate Communications Department at The Times.","Good morning. Here is Daily Clip Report, a collection of articles about The Times and the media sent by email each morning to senior executives and newsroom editors. The email is produced by the Corporate Communications Department at The Times.",197,"2014-12-04 08:27:06",6883
"","U.S.","Education","Throwback Thursday | Rosa Parks Refuses to Move to the Back of the Bus","Mrs. Rosa Parks, seamstress, being fingerprinted yesterday in Montgomery, Ala. Her arrest last December for refusing to move to the rear of the bus led to the Negro boycott of segregated city bus lines, for which she and 114 other persons have...","Mrs. Rosa Parks, seamstress, being fingerprinted yesterday in Montgomery, Ala. Her arrest last December for refusing to move to the rear of the bus led to the Negro boycott of segregated city bus lines, for which she and 114 other persons have been indicted, reads a 1956 caption from the front page of The Times.",262,"2014-12-04 08:14:06",6884
"Science","Health","","Think Like a Doctor: A Hideous Sore","Solve a real-life medical mystery: A young doctor develops a repulsive rash on her arm. Then her boyfriend gets it, too.","Solve a real-life medical mystery: A young doctor develops a repulsive rash on her arm. Then her boyfriend gets it, too.",1767,"2014-12-04 08:00:41",6885
"Foreign","World","Asia Pacific","A Step Forward for Beidou, China's Satellite Navigation System ","The Chinese system has become the third, after GPS and Russias Global Navigation Satellite System, recognized by the United Nations body that sets standards for international shipping.","The Chinese system has become the third, after GPS and Russias Global Navigation Satellite System, recognized by the United Nations body that sets standards for international shipping.",741,"2014-12-04 07:58:12",6886
"Foreign","","","1964: Pope Asks  to End Arms Race","From the International Herald Tribune archives: Pope Paul VI criticizes the arms race in 1964.","From the International Herald Tribune archives: Pope Paul VI criticizes the arms race in 1964.",123,"2014-12-04 07:55:29",6887
"Business","Business Day","Dealbook","Morning Agenda: Young Bankers Flock to Private Equity","Young Wall Street bankers are enamored with private equity. | An activist investor takes aim at TheStreet. | Brazilians are turning to pawnshops for cash.","Young Wall Street bankers are enamored with private equity. | An activist investor takes aim at TheStreet. | Brazilians are turning to pawnshops for cash.",2006,"2014-12-04 07:48:05",6888
"","","","Today in Politics","New Yorks chokehold case has thrown a volatile element into Loretta E. Lynchs confirmation hearings as United States attorney general.","New Yorks chokehold case has thrown a volatile element into Loretta E. Lynchs confirmation hearings as United States attorney general.",1401,"2014-12-04 07:07:08",6889
"Business","Business Day","Dealbook","Unilever to Separate Spreads Business Into Standalone Company","The business, to be renamed Unilever Baking, Cooking & Spreading, will continue to remain 100 percent owned by Unilever and is expected to be fully operational by July 2015.","The business, to be renamed Unilever Baking, Cooking & Spreading, will continue to remain 100 percent owned by Unilever and is expected to be fully operational by July 2015.",382,"2014-12-04 07:04:40",6890
"Business","Business Day","Small Business","After a Disaster, a Winery Starts Anew -- and Finds a Better Business Model","Delia Viader, who started her winery in 1986, had fire insurance but feared the payout would take months, if not years, and probably wouldnt cover her losses.","Delia Viader, who started her winery in 1986, had fire insurance but feared the payout would take months, if not years, and probably wouldnt cover her losses.",1104,"2014-12-04 07:00:21",6891
"Business","Technology","","Daily Report: Inquiry Into Cyberattack on Sony Pictures Broadens ","The studio, working with law enforcement agencies, has been exploring whether the hacking was related to one of Sonys coming movies, The Interview.","The studio, working with law enforcement agencies, has been exploring whether the hacking was related to one of Sonys coming movies, The Interview.",191,"2014-12-04 06:56:35",6892
"Metro","N.Y. / Region","","New York Today: Dissent and Demonstrations","Thursday: More protests are planned in the wake of the Eric Garner decision, fair weather, and your chance to get a Nobel Prize.","Thursday: More protests are planned in the wake of the Eric Garner decision, fair weather, and your chance to get a Nobel Prize.",999,"2014-12-04 05:57:57",6893
"Foreign","","","1889: Henry Stanley Arrives in Mbiki","From the International Herald Tribune archives: Henry Stanleys expedition to Tanzania in 1889.","From the International Herald Tribune archives: Henry Stanleys expedition to Tanzania in 1889.",114,"2014-12-04 05:44:22",6894
"Business","Business Day","Dealbook","CVC Capital Partners to Buy Sky Online Gambling Business","The deal values Sky Betting and Gaming around $1.25 billion and comes as the satellite-TV giant Sky seeks to transform itself into a pan-European provider.","The deal values Sky Betting and Gaming around $1.25 billion and comes as the satellite-TV giant Sky seeks to transform itself into a pan-European provider.",444,"2014-12-04 05:29:55",6895
"Foreign","World","Asia Pacific","China Sets Jan. 1 Deadline for Ending Transplants From Executed Prisoners","Dr. Huang Jiefu, a surgeon in charge of revamping Chinas organ transplant system, gave the firmest deadline to date for ending the widely criticized practice.","Dr. Huang Jiefu, a surgeon in charge of revamping Chinas organ transplant system, gave the firmest deadline to date for ending the widely criticized practice.",314,"2014-12-04 05:24:40",6896
"","Multimedia","","Bob Marley: The Rastaman Vibration Continues","Despite recent efforts to cast Marley as the face of a global cannabis brand, Kate Simons photos of him portray a man whose life and legacy transcend simple labels.","Despite recent efforts to cast Marley as the face of a global cannabis brand, Kate Simons photos of him portray a man whose life and legacy transcend simple labels.",573,"2014-12-04 05:00:35",6897
"","U.S.","Education","Should All Police Officers Wear Body Cameras?","Do you agree with Mayor Bill de Blasio of New York that body cameras will fundamentally change the way the police and the community interact?","Do you agree with Mayor Bill de Blasio of New York that body cameras will fundamentally change the way the police and the community interact?",516,"2014-12-04 05:00:09",6898
"","U.S.","Education","Test Yourself | Secret Proposal Photography","Here are the first nine paragraphs from a Nov. 30 article, Like a Spy, He Photographs Marriage Proposals in New York City. Can you choose the best word for each blank?","Here are the first nine paragraphs from a Nov. 30 article, Like a Spy, He Photographs Marriage Proposals in New York City. Can you choose the best word for each blank?",49,"2014-12-04 04:44:29",6899
"","U.S.","Education","6 Q's About the News | No Indictment in Eric Garner Chokehold Case for N.Y.P.D. Officer","What is your reaction to the Staten Island grand jurys decision? Why?","What is your reaction to the Staten Island grand jurys decision? Why?",188,"2014-12-04 04:30:12",6900
"","U.S.","Education","Word of the Day | predispose","This word has appeared in six New York Times articles in the past year.","This word has appeared in six New York Times articles in the past year.",212,"2014-12-04 00:05:57",6901
"Business","Business Day","Dealbook","AvantCredit, an Online Lender, Raises New Financing","The lender, founded in late 2012, announced early Thursday that it had raised $225 million in financing led by Tiger Global Management, an existing investor.","The lender, founded in late 2012, announced early Thursday that it had raised $225 million in financing led by Tiger Global Management, an existing investor.",321,"2014-12-04 00:01:06",6902
"Business","Technology","","Uber to Portland: We're Here. Deal With It.","The San Francisco-based ride-hailing company started offering its services in Portland, Ore., despite loud protests from city officials who said the service is illegal there.","The San Francisco-based ride-hailing company started offering its services in Portland, Ore., despite loud protests from city officials who said the service is illegal there.",659,"2014-12-05 23:01:01",6903
"Business","Crosswords/Games","","Elegant Pool Maneuvers","More brain-twisting, courtesy of Josh Knapp.","More brain-twisting, courtesy of Josh Knapp.",400,"2014-12-05 22:00:10",6904
"","","","For Prince William and Catherine, a Trip Full of Politicians","British royalty will meet with American political royalty next week when the Duke and Duchess of Cambridge descend on the East Coast to make the rounds and infuse New York with a dose of English glamour.","British royalty will meet with American political royalty next week when the Duke and Duchess of Cambridge descend on the East Coast to make the rounds and infuse New York with a dose of English glamour.",232,"2014-12-05 20:47:31",6905
"TStyle","","","Inside T's Holiday Issue ","Our final issue of the year is full of lively characters, from the 11-year-old movie star Quvenzhan Wallis to the real-life Addams Family clan of the eccentric artist Gottfried Helnwein to the Hollywood A-listers who are decamping for...","Our final issue of the year is full of lively characters, from the 11-year-old movie star Quvenzhan Wallis to the real-life Addams Family clan of the eccentric artist Gottfried Helnwein to the Hollywood A-listers who are decamping for Broadway.",196,"2014-12-05 20:00:22",6906
"Business","Technology","","SAP Readies a Big Business Marketplace","The German software company seems poised to take on Alibaba by offering business services and software through a cloud-computing marketplace.","The German software company seems poised to take on Alibaba by offering business services and software through a cloud-computing marketplace.",512,"2014-12-05 19:11:25",6907
"Culture","Arts","","Architect Submits A Plan to Save Brutalist Building in Orange County","An architect who hopes to save a Paul Rudolph-designed building in Orange County, N.Y., presented his detailed proposal to county leaders there on Friday.","An architect who hopes to save a Paul Rudolph-designed building in Orange County, N.Y., presented his detailed proposal to county leaders there on Friday.",300,"2014-12-05 19:07:44",6908
"Business","Business Day","Dealbook","Merck Said to Weigh Acquisition of Rival Drug Maker Cubist","The deal would represent another multibillion-dollar health care transaction in a banner year for mergers and acquisitions in the industry.","The deal would represent another multibillion-dollar health care transaction in a banner year for mergers and acquisitions in the industry.",739,"2014-12-05 19:01:00",6909
"TStyle","","","Peter Marino on Warhol, Barneys and His Life's Work ","The famously outspoken, leather-clad architect is being honored this week with Design Miamis inaugural Design Visionary Award and an exhibition at the Bass Museum of Art. In this video, he discusses his career with T.","The famously outspoken, leather-clad architect is being honored this week with Design Miamis inaugural Design Visionary Award and an exhibition at the Bass Museum of Art. In this video, he discusses his career with T.",133,"2014-12-05 18:43:22",6910
"Business","Business Day","Dealbook","Apollo Global Partner Sam Oh Is Said to Be Leaving","Mr. Oh, who was involved in some of the private equity firms most prominent energy investments, is said to be considering either starting his own firm or joining a smaller firm in a more senior role.","Mr. Oh, who was involved in some of the private equity firms most prominent energy investments, is said to be considering either starting his own firm or joining a smaller firm in a more senior role.",370,"2014-12-05 18:22:08",6911
"","Multimedia","","Dec. 5, 2014  Pictures of the Day","Photos from Afghanistan, Russia, Ukraine and Thailand.","Photos from Afghanistan, Russia, Ukraine and Thailand.",13,"2014-12-05 18:06:33",6912
"","","","A Refugee Camp Pulsating With Energy: A Dispatch From Shatila","In the Shatila refugee camp in Lebanon, cultures are colliding as Syrians, fleeing the war in their country, move into an area where Palestinian refugees have lived for decades.","In the Shatila refugee camp in Lebanon, cultures are colliding as Syrians, fleeing the war in their country, move into an area where Palestinian refugees have lived for decades.",774,"2014-12-05 18:05:50",6913
"TStyle","","","Tropical Colors and Geometric Looks at Art Basel in Miami Beach","Street style from the annual fair.","Street style from the annual fair.",29,"2014-12-05 18:00:28",6914
"Business","Business Day","Dealbook","Venture Capitalist Tim Draper Wins Small Piece of Bitcoin Auction","After successfully bidding for all the Bitcoins in the governments first auction in June, the venture capitalist says he won just one block of 2,000 Bitcoins in Thursdays sale.","After successfully bidding for all the Bitcoins in the governments first auction in June, the venture capitalist says he won just one block of 2,000 Bitcoins in Thursdays sale.",572,"2014-12-05 17:59:18",6915
"Culture","Arts","","Rapper Beanie Sigel Shot in New Jersey","The rapper was shot in the stomach on Friday morning outside his home, the police said.","The rapper was shot in the stomach on Friday morning outside his home, the police said.",157,"2014-12-05 17:34:44",6916
"TStyle","","","In Miami, Art Imitates Fashion","At this years stateside outpost of the Art Basel fair, several galleries are showing works that explore and parody the visual language of fashion magazines and catalogs.","At this years stateside outpost of the Art Basel fair, several galleries are showing works that explore and parody the visual language of fashion magazines and catalogs.",254,"2014-12-05 17:30:16",6917
"","","","Can Sarkozy Give France a New Start?","Will Nicolas Sarkozy make a successful comeback in France? Observers have their doubts about him and about the countrys leaders in general.","Will Nicolas Sarkozy make a successful comeback in France? Observers have their doubts about him and about the countrys leaders in general.",1147,"2014-12-05 17:23:29",6918
"","","","What We're Reading","Get recommendations from New York Times reporters and editors, highlighting great stories from around the web. Today, great reads from Jeremy Zilar, Kevin McKenna and others.","Get recommendations from New York Times reporters and editors, highlighting great stories from around the web. Today, great reads from Jeremy Zilar, Kevin McKenna and others.",512,"2014-12-05 17:20:48",6919
"Business","Technology","","Videotaped Deposition of Steve Jobs Played in Apple iPod Trial","The late Apple chief defended his companys decision to strictly control the music that can be played on an iPod in testimony recorded six months before his death.","The late Apple chief defended his companys decision to strictly control the music that can be played on an iPod in testimony recorded six months before his death.",709,"2014-12-05 17:19:53",6920
"Science","Health","","Think Like a Doctor: A Hideous Sore Solved","Readers solve the case of a young doctor and her boyfriend who both develop horrible rashes after vacationing in Brazil.","Readers solve the case of a young doctor and her boyfriend who both develop horrible rashes after vacationing in Brazil.",1383,"2014-12-05 17:03:11",6921
"Travel","Travel","","In London, a Study in Sherlock","A new exhibition at the Museum of London is a wide-ranging look at Sherlock Holmes and the city that played a major role in his adventures.","A new exhibition at the Museum of London is a wide-ranging look at Sherlock Holmes and the city that played a major role in his adventures.",527,"2014-12-05 17:00:44",6922
"TStyle","","","Warmest Wishes","Ts Holiday Issue focuses on traditions more freeing side.","Ts Holiday Issue focuses on traditions more freeing side.",386,"2014-12-05 17:00:03",6923
"Business","Business Day","Dealbook","Illinois City Allowed Back Into the Bond Market","Harvey, Ill., under a settlement with the S.E.C., agreed not to sell bonds for the next three years without first retaining independent counsel to tell investors the truth about what the money would be used for and how the city planned to repay its...","Harvey, Ill., under a settlement with the S.E.C., agreed not to sell bonds for the next three years without first retaining independent counsel to tell investors the truth about what the money would be used for and how the city planned to repay its debts.",809,"2014-12-05 16:50:09",6924
"OpEd","","","The Soft Path to a Climate Agreement, From Lima to Paris","As long ago as 1991, there were calls to pursue soft, not binding, steps toward a global climate treaty. Talks are progressing now because this shift has occurred.","As long ago as 1991, there were calls to pursue soft, not binding, steps toward a global climate treaty. Talks are progressing now because this shift has occurred.",1656,"2014-12-05 16:45:38",6925
"TStyle","","","Watch New York City Landmarks Light Up for the Holidays ","In this video and interactive feature, store and hotel windows transition from their ordinary states into winter wonderlands.","In this video and interactive feature, store and hotel windows transition from their ordinary states into winter wonderlands.",99,"2014-12-05 16:17:06",6926
"OpEd","Opinion","","Friday Night Music: Lucius, Monsters","Better than bankers.","Better than bankers.",80,"2014-12-05 15:54:09",6927
"Culture","Arts","","Popcast: The Pop Savvy of 'Beyond the Lights'","Jon Caramanica and A.O. Scott discuss what this update of The Bodyguard gets right about the music business.","Jon Caramanica and A.O. Scott discuss what this update of The Bodyguard gets right about the music business.",206,"2014-12-05 15:40:09",6928
"Business","Business Day","Dealbook","Morgan Stanley to Pay More of Bonuses Upfront","The bank will defer only about 50 percent of its cash bonuses for employees this year, down from the 80 percent it deferred last year.","The bank will defer only about 50 percent of its cash bonuses for employees this year, down from the 80 percent it deferred last year.",399,"2014-12-05 15:29:19",6929
